#qid,#kid,#rid,rdist,gdist,ratio,qtime(us)
131,0,4490,29,19,1.526316,321.663000
132,0,24217,60,32,1.875000,741.496000
133,0,37174,39,24,1.625000,768.449000
134,0,35987,57,36,1.583333,594.113000
135,0,16880,40,23,1.739130,483.252000
136,0,16241,34,27,1.259259,613.905000
137,0,44165,11,11,1.000000,806.359000
138,0,14156,38,23,1.652174,765.854000
139,0,28672,34,27,1.259259,271.923000
140,0,7081,40,29,1.379310,440.149000
141,0,37554,52,35,1.485714,402.156000
142,0,3367,60,50,1.200000,698.402000
143,0,37848,8,7,1.142857,632.896000
144,0,13630,15,12,1.250000,300.346000
145,0,12027,47,41,1.146341,852.248000
146,0,22459,32,24,1.333333,364.838000
147,0,48403,34,22,1.545455,267.132000
148,0,51034,50,40,1.250000,462.632000
149,0,48372,23,10,2.300000,490.261000
150,0,44119,31,22,1.409091,506.921000
151,0,39847,28,24,1.166667,287.209000
152,0,47114,58,37,1.567568,481.967000
153,0,29679,26,14,1.857143,298.440000
154,0,2951,39,20,1.950000,770.428000
155,0,766,40,25,1.600000,400.698000
156,0,14471,10,10,1.000000,432.903000
157,0,35498,28,24,1.166667,541.685000
158,0,48338,16,14,1.142857,372.682000
159,0,26846,34,22,1.545455,392.844000
160,0,10668,33,25,1.320000,414.236000
161,0,296,18,18,1.000000,341.757000
162,0,9073,41,28,1.464286,506.676000
163,0,2558,17,9,1.888889,388.466000
164,0,247,29,28,1.035714,448.953000
165,0,35996,25,25,1.000000,362.208000
166,0,26528,43,32,1.343750,400.292000
167,0,11830,25,21,1.190476,407.449000
168,0,2451,33,23,1.434783,434.322000
169,0,41821,26,26,1.000000,321.247000
170,0,25249,25,22,1.136364,392.850000
171,0,22567,52,39,1.333333,432.223000
172,0,53722,40,23,1.739130,271.417000
173,0,23553,52,42,1.238095,331.663000
174,0,19405,21,17,1.235294,417.677000
175,0,51038,32,28,1.142857,260.753000
176,0,1371,58,39,1.487180,247.046000
177,0,26542,38,28,1.357143,415.981000
178,0,48390,42,38,1.105263,229.230000
179,0,13381,15,15,1.000000,380.724000
180,0,53889,36,22,1.636364,369.975000
181,0,36101,44,30,1.466667,541.522000
182,0,48998,27,20,1.350000,349.086000
183,0,20683,38,20,1.900000,379.737000
184,0,7278,31,21,1.476190,414.471000
185,0,44666,38,25,1.520000,397.056000
186,0,9709,23,16,1.437500,338.438000
187,0,15625,46,23,2.000000,332.477000
188,0,32129,46,33,1.393939,516.418000
189,0,31872,38,34,1.117647,232.857000
190,0,46264,36,25,1.440000,290.877000
191,0,6852,28,22,1.272727,316.525000
192,0,1507,44,32,1.375000,396.685000
193,0,36719,44,30,1.466667,430.881000
194,0,31616,54,39,1.384615,164.661000
195,0,8456,45,26,1.730769,319.336000
196,0,39019,58,43,1.348837,429.468000
197,0,52054,56,44,1.272727,285.169000
198,0,41179,39,33,1.181818,536.083000
199,0,49745,18,18,1.000000,427.256000
