#qid,#kid,#rid,rdist,gdist,ratio,qtime(us)
150,0,44119,31,22,1.409091,393.011000
151,0,48481,33,24,1.375000,205.360000
152,0,31662,61,37,1.648649,379.037000
153,0,29679,26,14,1.857143,247.498000
154,0,9633,50,20,2.500000,358.737000
155,0,766,40,25,1.600000,281.301000
156,0,14471,10,10,1.000000,611.594000
157,0,35498,28,24,1.166667,354.219000
158,0,48338,16,14,1.142857,562.202000
159,0,39160,46,22,2.090909,333.894000
160,0,38793,34,25,1.360000,358.696000
161,0,296,18,18,1.000000,286.764000
162,0,9073,41,28,1.464286,377.470000
163,0,2558,17,9,1.888889,340.952000
164,0,247,29,28,1.035714,367.167000
165,0,27084,29,25,1.160000,276.886000
166,0,49639,49,32,1.531250,728.244000
167,0,11830,25,21,1.190476,538.755000
168,0,2451,33,23,1.434783,386.818000
169,0,41821,26,26,1.000000,212.995000
170,0,25249,25,22,1.136364,479.745000
171,0,9241,59,39,1.512820,355.608000
172,0,24522,52,23,2.260870,211.070000
173,0,24310,70,42,1.666667,292.791000
174,0,19405,21,17,1.235294,326.041000
175,0,51038,32,28,1.142857,228.830000
176,0,9136,64,39,1.641026,176.511000
177,0,30843,53,28,1.892857,377.695000
178,0,8545,56,38,1.473684,182.523000
179,0,13381,15,15,1.000000,330.145000
180,0,50636,56,22,2.545455,295.135000
181,0,3025,63,30,2.100000,323.743000
182,0,23897,49,20,2.450000,277.583000
183,0,20683,38,20,1.900000,293.118000
184,0,11684,37,21,1.761905,342.904000
185,0,44666,38,25,1.520000,301.305000
186,0,9709,23,16,1.437500,288.956000
187,0,11952,55,23,2.391304,264.110000
188,0,7029,49,33,1.484848,251.301000
189,0,23042,51,34,1.500000,179.931000
190,0,46264,36,25,1.440000,277.306000
191,0,6852,28,22,1.272727,181.954000
192,0,11208,49,32,1.531250,320.803000
193,0,36719,44,30,1.466667,321.117000
194,0,8197,58,39,1.487180,143.353000
195,0,8456,45,26,1.730769,257.767000
196,0,43652,60,43,1.395349,301.190000
197,0,15993,57,44,1.295455,122.347000
198,0,41179,39,33,1.181818,321.500000
199,0,49745,18,18,1.000000,344.689000
